Professor Name,Professor Profile
"Abeyaratne, Rohan",Professor
"Ahmed, Faez",Assistant Professor
"Akylas, Triantaphyllos R",Professor
"Anand, Lallit",Professor
"Asada, Harry",Professor
"Azizan, Navid",Assistant Professor
"Barbastathis, George",Professor
"Bathe, Klaus-JÃ¼rgen",Professor
"Bathe, Mark",Professor
"Becker, Kaitlyn",Assistant Professor
"Bischofberger, Irmgard",Associate Professor
Lydia Bourouiba,Associate Professor
"Brisson II, John G",Professor
"Buehler, Markus",McAfee Professor of Engineering
"Buie, Cullen",Professor
"Buonassisi, Tonio",Professor
"Buongiorno, Jacopo",TEPCO Professor of Nuclear Science
"Chen, Gang",Professor
"Cheng, Wai K",Professor
"Chun, Jung-Hoon",Professor
"Cohen, Tal",Associate Professor
"Culpepper, Martin",Professor
"Del Vecchio, Domitilla",Professor
"Deng, Sili",Associate Professor
"Edelman, Elazer",Professor
"Frey, Daniel",Professor
"Gallant, Betar",Associate Professor
"Ghoniem, Ahmed F",Professor
"Gibson, Lorna J.",Professor
"Glicksman, Leon R.",Professor
"Graves, Stephen C",Professor
"Griffith, Linda G",Professor
"Grodzinsky, Alan J",Professor
"Guo, Ming",Associate Professor
"Gutowski, Timothy G",Professor
"Hadjiconstantinou, Nicolas",Professor
"Hardt, David E",Professor
"Hart, A. John",Professor
"Hart, Douglas",Professor
"Henry, Asegun",Professor
"Hogan, Neville",Professor
"Hosoi, Anette (Peko)",Professor
"Hunter, Ian",Professor
"Jacobson, Joseph",Associate Professor
"Kamm, Roger Dale",Professor
"Karnik, Rohit N",Professor
"Kim, Jeehwan",Associate Professor
"Kim, Sang-Gook",Professor
"Kim, Sangbae",Professor
"Kolle, Mathias",Associate Professor
"Langer, Robert S",Institute Professor
"Leeb, Steven B",Professor
"Leonard, John J",Professor
"Lermusiaux, Pierre",Professor
"Lienhard V, John H","Director, J-WAFS / Professor"
"Lloyd, Seth",Professor
"Makris, Nicholas",Professor
"Manalis, Scott R",Professor
"Matusik, Wojciech",Professor
"McKinley, Gareth H",Professor
"Mueller, Stefanie",Associate Professor
"Parks, David Moore",Professor
"Patera, Anthony T",Professor
"Patrikalakis, Nicholas M",Professor
"Peacock, Thomas",Professor
"Portela, Carlos",Assistant Professor
"Raman, Ritu",Assistant Professor
"Roche, Ellen",Associate Professor
"Sachs, Emanuel Michael",Professor
"Sapsis, Themistoklis",Professor
"Sarma, Sanjay E",Professor
"Schmidt, Henrik",Professor
"Sclavounos, Paul D",Professor
"Seering, Warren Paul",Professor
"Shao-Horn, Yang",Professor
"Slocum, Alexander H",Professor
"Slotine, Jean-Jacques E",Professor
"So, Peter T. C.",Professor
"Sudhir, Vivishek",Assistant Professor
"Tadesse, Loza",Assistant Professor
"Techet, Alexandra H",Professor
"Tedrake, Russ",Professor
"Traverso, Giovanni",Associate Professor
"Triantafyllou, Michael S",Professor
"Trumper, David L",Professor
"van Rees, Wim",Associate Professor
"Vandiver, J Kim",Dean for Undergraduate Research/Professor
"Varanasi, Kripa",Professor
"Wallace, David",Professor
"Wang, Evelyn",Professor
"Wang, Sherrie",Assistant Professor
"Wardle, Brian",Professor
"Williams Jr, James H",Professor
"Winter, Amos G.",Professor
"Yang, Maria",Deputy Dean of Engineering
"Yannas, Ioannis V",Professor
"Youcef-Toumi, Kamal",Professor
"Yue, Dick K. P.",Professor
"Zhao, Xuanhe",Professor
"Zufferey, Raphael",Assistant Professor (Starting January 2025)
